URL,Title,Price,Availability,Rating,created_at
http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,A Light in the Attic,£51.77,In stock,3,2026-01-31 07:45:19.745292
http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Tipping the Velvet,£53.74,In stock,1,2026-01-31 07:45:19.783593
http://books.toscrape.com/catalogue/soumission_998/index.html,Soumission,£50.10,In stock,1,2026-01-31 07:45:19.810999
http://books.toscrape.com/catalogue/sharp-objects_997/index.html,Sharp Objects,£47.82,In stock,4,2026-01-31 07:45:19.837027
http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Sapiens: A Brief History of Humankind,£54.23,In stock,5,2026-01-31 07:45:19.863301
http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,The Requiem Red,£22.65,In stock,1,2026-01-31 07:45:19.894524
http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,The Dirty Little Secrets of Getting Your Dream Job,£33.34,In stock,4,2026-01-31 07:45:19.930678
http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In stock,3,2026-01-31 07:45:19.961977
http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In stock,4,2026-01-31 07:45:19.991894
http://books.toscrape.com/catalogue/the-black-maria_991/index.html,The Black Maria,£52.15,In stock,1,2026-01-31 07:45:20.029256
http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In stock,2,2026-01-31 07:45:20.061428
http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Shakespeare's Sonnets,£20.66,In stock,4,2026-01-31 07:45:20.100194
http://books.toscrape.com/catalogue/set-me-free_988/index.html,Set Me Free,£17.46,In stock,5,2026-01-31 07:45:20.129823
http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock,5,2026-01-31 07:45:20.157627
http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Rip it Up and Start Again,£35.02,In stock,5,2026-01-31 07:45:20.196910
http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In stock,3,2026-01-31 07:45:20.237100
http://books.toscrape.com/catalogue/olio_984/index.html,Olio,£23.88,In stock,1,2026-01-31 07:45:20.266820
http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock,1,2026-01-31 07:45:20.289647
http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Libertarianism for Beginners,£51.33,In stock,2,2026-01-31 07:45:20.320897
http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,It's Only the Himalayas,£45.17,In stock,2,2026-01-31 07:45:20.353625
http://books.toscrape.com/catalogue/in-her-wake_980/index.html,In Her Wake,£12.84,In stock,1,2026-01-31 07:45:21.815405
http://books.toscrape.com/catalogue/how-music-works_979/index.html,How Music Works,£37.32,In stock,2,2026-01-31 07:45:21.844510
http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,In stock,3,2026-01-31 07:45:21.880365
http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,Chase Me (Paris Nights #2),£25.27,In stock,5,2026-01-31 07:45:21.911765
